function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,30,1.000,6.062,4233216.000,1,0,cows,50,1.000,6.295,14327808.000,1,0,179.265,176.857,9008719189.333,9034419370.667,10,0
figlet,30,1.000,5.049,6209536.000,1,0,cows,50,1.000,6.795,5767168.000,1,0,189.760,180.620,9011486037.333,9036737877.333,10,0
figlet,30,1.000,6.569,13410816.000,1,0,cows,50,1.000,5.009,5812224.000,1,0,179.655,179.194,9004158976.000,9031323136.000,10,0
figlet,40,1.000,8.182,4262912.000,1,0,cows,0,1.000,3.049,6787072.000,1,0,178.929,160.482,9010247680.000,9033096874.667,10,0
figlet,40,1.000,8.508,6623232.000,1,0,cows,0,1.000,0.122,50162688.000,1,0,150.520,136.640,8970361514.667,8965612202.667,10,0
figlet,40,1.000,7.369,13535232.000,1,0,cows,0,1.000,0.139,50268330.667,1,0,138.160,146.830,8960666965.333,8990263978.667,10,0
figlet,40,1.000,5.964,13316778.667,1,0,cows,10,1.000,1.095,49579008.000,1,0,153.680,134.390,8977916586.667,8968220160.000,10,0
figlet,40,1.000,9.040,13310293.333,1,0,cows,10,1.000,2.853,50359808.000,1,0,187.720,171.120,8978912597.333,8995847168.000,10,0
figlet,40,1.000,8.115,4573184.000,1,0,cows,10,1.000,1.749,5189632.000,1,0,167.320,157.700,8961140736.000,8985366016.000,10,0
figlet,40,1.000,8.434,13303637.333,1,0,cows,20,1.000,2.273,12644352.000,1,0,183.400,164.586,8965913941.333,8990949717.333,10,0
figlet,40,1.000,6.613,4723200.000,5,0,cows,20,1.000,2.741,5611520.000,5,0,171.720,172.471,8971920725.333,8985771008.000,10,0
figlet,40,1.000,9.173,13394944.000,5,0,cows,20,1.000,2.681,6197248.000,5,0,161.640,167.054,8983648256.000,8991419221.333,10,0
figlet,40,1.000,8.724,13425664.000,5,0,cows,30,1.000,2.909,4861952.000,5,0,172.240,181.663,8982218752.000,8997210453.333,10,0
figlet,40,1.000,6.544,13363712.000,5,0,cows,30,1.000,4.179,5476352.000,5,0,203.440,182.514,8991989077.333,9000544597.333,10,0
figlet,40,1.000,9.524,13263018.667,9,0,cows,30,1.000,7.598,15033685.333,9,0,174.120,163.302,8982761472.000,9049439914.667,10,0
figlet,40,1.000,7.295,4123136.000,13,0,cows,40,1.000,8.092,26880000.000,13,0,189.240,176.862,9168024234.667,9243584512.000,10,0
figlet,40,1.000,11.086,8603648.000,17,1,cows,40,1.000,9.897,28736000.000,17,1,200.080,197.624,9350874453.333,9432474453.333,10,1
figlet,40,1.000,6.309,9346560.000,5,0,cows,40,1.000,6.842,15759872.000,5,0,212.360,194.350,9572629845.333,9473668778.667,20,0
figlet,40,1.000,7.063,2981888.000,9,0,cows,50,1.000,9.347,17519616.000,9,0,221.015,189.950,9089587200.000,9112221525.333,10,0
figlet,40,1.000,8.338,4387328.000,1,0,cows,50,1.000,7.475,28819456.000,1,0,195.360,187.186,9239488512.000,9232408405.333,10,0
figlet,40,1.000,6.111,14321664.000,1,0,cows,50,1.000,6.669,5988352.000,1,0,199.231,190.711,9054770517.333,9059867818.667,10,0
figlet,50,1.000,11.805,14529536.000,1,0,cows,0,1.000,2.026,7602176.000,1,0,186.177,166.914,9024275114.667,9039623680.000,10,0
figlet,50,1.000,11.220,4800512.000,1,0,cows,0,1.000,0.123,49980757.333,1,0,158.067,142.297,8978749440.000,8978320725.333,10,0
figlet,50,1.000,10.831,3866624.000,1,0,cows,0,1.000,0.132,50143061.333,1,0,142.600,155.770,8966214314.667,8999317845.333,10,0
figlet,50,1.000,11.718,6053888.000,1,0,cows,10,1.000,1.196,49760768.000,1,0,153.240,147.250,8991192405.333,8977550848.000,10,0
figlet,50,1.000,11.034,14663168.000,1,0,cows,10,1.000,1.176,4997120.000,1,0,186.143,170.905,8981729280.000,9012076885.333,10,0
figlet,50,1.000,9.399,14638592.000,1,0,cows,10,1.000,2.377,13303808.000,1,0,168.000,164.982,8982103381.333,9008449536.000,10,0
figlet,50,1.000,9.754,14703104.000,1,0,cows,20,1.000,1.733,5283840.000,1,0,181.000,169.862,8979758421.333,9008926378.667,10,0
figlet,50,1.000,11.032,4334080.000,1,0,cows,20,1.000,2.251,5758976.000,1,0,183.880,172.783,9008480256.000,9027344384.000,10,0
figlet,50,1.000,13.341,15028224.000,5,0,cows,20,1.000,3.438,12980224.000,5,0,180.400,172.642,8990647637.333,9017147050.667,10,0
figlet,50,1.000,10.913,4610048.000,5,0,cows,30,1.000,3.039,51438080.000,5,0,176.440,177.120,9009412096.000,9014310058.667,10,0
figlet,50,1.000,11.646,4636672.000,5,0,cows,30,1.000,4.455,5890048.000,5,0,182.640,185.633,9015518549.333,9023011498.667,10,0
figlet,50,1.000,10.748,14572544.000,13,0,cows,30,1.000,3.998,7561216.000,5,0,173.800,183.829,9007982592.000,9058491050.667,10,0
figlet,50,1.000,12.918,14560256.000,17,1,cows,40,1.000,8.413,14360576.000,9,0,183.680,178.058,9154794837.333,9220662442.667,10,1
figlet,50,1.000,4.849,3586730.667,5,0,cows,40,1.000,7.481,27721728.000,5,0,195.360,186.744,9343440896.000,9334678869.333,20,0
figlet,50,1.000,10.362,14626304.000,9,0,cows,40,1.000,9.510,14876501.333,9,0,208.440,186.560,9105526101.333,9123917653.333,10,0
figlet,50,1.000,10.927,14569472.000,13,0,cows,50,1.000,10.635,11235328.000,13,0,178.560,172.250,9226379264.000,9311842816.000,10,0
figlet,50,1.000,11.614,14607701.333,17,1,cows,50,1.000,13.506,17977344.000,17,1,199.760,184.885,9453020501.333,9529909930.667,10,1
figlet,50,1.000,8.398,14988288.000,5,0,cows,50,1.000,6.860,26038272.000,5,0,215.040,191.488,9651445077.333,9553121280.000,20,0
