function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.072,16968192.000,1,0,env,20,1.000,3.103,2850816.000,5,0,cows,40,1.000,5.071,5582848.000,5,0,124.840,134.990,5721702400.000,5720567978.667,10,0
shasum,0,1.000,0.071,16969728.000,1,0,env,20,1.000,2.584,3736576.000,5,0,cows,40,1.000,4.315,5562368.000,5,0,128.280,133.100,5736432298.667,5722560853.333,10,0
shasum,0,1.000,0.072,16969728.000,1,0,env,20,1.000,2.862,3043328.000,5,0,cows,40,1.000,6.945,5304320.000,5,0,135.353,135.298,5720973312.000,5720963584.000,10,0
shasum,0,1.000,0.076,16969728.000,1,0,env,20,1.000,1.984,4499968.000,5,0,cows,50,1.000,10.979,16535722.667,13,0,130.760,162.850,5740544000.000,5832588800.000,10,0
shasum,0,1.000,0.076,16970240.000,1,0,env,20,1.000,3.255,2908160.000,5,0,cows,50,1.000,11.929,8404992.000,20,1,202.640,181.160,5936893952.000,6062894762.667,10,1
shasum,0,1.000,0.083,16973824.000,1,0,env,20,1.000,2.332,4030464.000,5,0,cows,50,1.000,6.300,23736320.000,5,0,165.560,151.817,6241148928.000,6032459946.667,20,0
shasum,0,1.000,0.075,16973824.000,1,0,env,30,1.000,3.465,3260416.000,9,0,cows,0,1.000,3.178,15057920.000,1,0,158.480,132.390,5801915050.667,5841987584.000,10,0
shasum,0,1.000,0.073,16973824.000,1,0,env,30,1.000,4.140,2969600.000,13,0,cows,0,1.000,0.096,40656896.000,1,0,99.640,103.660,5837531136.000,5848569856.000,10,0
shasum,0,1.000,0.071,16976042.667,1,0,env,30,1.000,4.552,6331904.000,17,1,cows,0,1.000,0.090,40656896.000,1,0,101.000,103.870,5903582549.333,5937138005.333,10,1
shasum,10,1.000,0.681,17049600.000,1,0,env,0,1.000,0.769,8505571.556,1,0,cows,0,1.000,0.111,40284672.000,1,0,99.600,116.150,5983782912.000,5955230720.000,20,0
shasum,10,1.000,1.061,18042880.000,1,0,env,0,1.000,0.074,11468800.000,1,0,cows,0,1.000,0.099,40313514.667,1,0,103.720,94.128,5757767680.000,5761139882.667,10,0
shasum,10,1.000,1.455,18263552.000,1,0,env,0,1.000,0.076,11468800.000,1,0,cows,0,1.000,0.110,40190976.000,1,0,84.400,84.790,5747458730.667,5748329813.333,10,0
shasum,10,1.000,1.512,18270720.000,1,0,env,0,1.000,0.101,11472384.000,1,0,cows,10,1.000,0.917,40324608.000,1,0,111.680,105.600,5811072341.333,5925354496.000,10,0
shasum,10,1.000,1.581,18259968.000,1,0,env,0,1.000,0.077,11472896.000,1,0,cows,10,0.997,1.615,4997120.000,1,0,125.760,121.970,5926815061.333,5798777344.000,10,0
shasum,10,1.000,1.589,18324480.000,1,0,env,0,1.000,0.077,11472896.000,1,0,cows,10,1.000,1.997,7434240.000,1,0,123.680,116.700,5703417856.000,5717080064.000,10,0
shasum,10,1.000,1.591,18331477.333,1,0,env,0,1.000,0.092,11472896.000,1,0,cows,20,1.000,1.831,18908501.333,1,0,121.960,121.890,5717089621.333,5727575722.667,10,0
shasum,10,1.000,0.995,3538944.000,1,0,env,0,1.000,0.066,11476480.000,1,0,cows,20,1.000,2.519,17608704.000,1,0,142.000,158.960,5704004949.333,5722077013.333,10,0
shasum,10,1.000,1.617,3809280.000,5,0,env,0,1.000,0.080,11476992.000,1,0,cows,20,1.000,3.180,4911104.000,5,0,149.360,143.340,5672727893.333,5680317952.000,10,0
shasum,10,1.000,1.802,18433877.333,1,0,env,0,1.000,0.086,11476992.000,1,0,cows,30,1.000,2.719,5468160.000,1,0,141.480,124.550,5700769792.000,5671716352.000,10,0
shasum,10,1.000,1.174,3952640.000,1,0,env,0,1.000,0.076,11476992.000,1,0,cows,30,1.000,4.028,7266304.000,1,0,141.120,133.540,5654270634.667,5668735146.667,10,0
shasum,10,1.000,1.709,4457813.333,1,0,env,0,1.000,0.087,11476992.000,1,0,cows,30,1.000,2.706,19910656.000,1,0,135.440,128.770,5662666069.333,5670198954.667,10,0
shasum,10,1.000,1.429,18456576.000,1,0,env,0,1.000,0.076,11476992.000,1,0,cows,40,1.000,3.809,5861376.000,1,0,135.560,129.880,5668140373.333,5674746709.333,10,0
shasum,10,1.000,1.414,18449920.000,1,0,env,0,1.000,0.072,11476992.000,1,0,cows,40,1.000,5.604,19133781.333,1,0,147.000,153.460,5659581781.333,5658376192.000,10,0
shasum,10,1.000,1.280,3571712.000,1,0,env,0,1.000,0.069,11476992.000,1,0,cows,40,1.000,4.903,7438336.000,1,0,152.560,165.640,5665269077.333,5718441642.667,10,0
shasum,10,1.000,1.287,18489856.000,5,0,env,0,1.000,0.089,11476992.000,1,0,cows,50,1.000,5.608,16274773.333,5,0,131.960,133.880,5693141674.667,5679782058.667,10,0
shasum,10,1.000,1.593,18406400.000,5,0,env,0,1.000,0.071,11476992.000,1,0,cows,50,1.000,5.740,6889472.000,5,0,134.640,134.030,5693382656.000,5679209642.667,10,0
shasum,10,1.000,1.402,18413568.000,5,0,env,0,1.000,0.071,11476992.000,1,0,cows,50,1.000,5.507,6926336.000,5,0,125.240,132.500,5686586709.333,5676480170.667,10,0
shasum,10,1.000,1.482,18590720.000,5,0,env,10,1.000,0.889,2879488.000,5,0,cows,0,1.000,1.583,6926336.000,1,0,132.360,117.740,5673018709.333,5648258048.000,10,0
