function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.088,15451306.667,1,0,shasum,20,1.000,2.477,4120576.000,1,0,cows,0,1.000,2.238,5341184.000,1,0,110.640,96.233,12059307349.333,12070928554.667,10,0
figlet,0,1.000,0.099,15454208.000,1,0,shasum,20,1.000,2.315,4247040.000,1,0,cows,0,1.000,0.098,93339989.333,1,0,75.080,71.520,12008899242.667,12012297386.667,10,0
figlet,0,1.000,0.077,15454208.000,1,0,shasum,20,1.000,2.283,17461248.000,1,0,cows,0,1.000,0.090,93343744.000,1,0,83.800,88.400,12011709781.333,12034987349.333,10,0
figlet,0,1.000,0.082,15454720.000,1,0,shasum,20,1.000,2.650,17390080.000,1,0,cows,10,1.000,1.134,92918954.667,1,0,89.400,80.035,12014929920.000,12014688085.333,10,0
figlet,0,1.000,0.099,15458304.000,1,0,shasum,20,1.000,2.800,4139008.000,1,0,cows,10,1.000,1.532,5304320.000,1,0,107.000,100.140,12049750698.667,12059688960.000,10,0
figlet,0,1.000,0.064,15459328.000,1,0,shasum,20,1.000,2.414,17303040.000,1,0,cows,10,1.000,2.309,11251712.000,1,0,99.640,96.262,12049433258.667,12059625472.000,10,0
figlet,0,1.000,0.082,15463936.000,1,0,shasum,20,1.000,2.512,4634624.000,1,0,cows,20,1.000,3.208,18419712.000,1,0,110.320,100.760,12052082005.333,12065515349.333,10,0
figlet,0,1.000,0.072,15470080.000,1,0,shasum,20,1.000,3.216,17337344.000,1,0,cows,20,1.000,3.386,5292032.000,1,0,104.800,103.176,12059972266.667,12067852800.000,10,0
figlet,0,1.000,0.086,15473493.333,1,0,shasum,20,1.000,3.103,3981312.000,1,0,cows,20,1.000,2.285,20141397.333,1,0,107.480,100.783,12050517333.333,12060724906.667,10,0
figlet,0,1.000,0.091,15480832.000,1,0,shasum,20,1.000,2.544,3794432.000,1,0,cows,30,1.000,4.486,15257088.000,1,0,115.320,107.158,12055438677.333,12066276352.000,10,0
figlet,0,1.000,0.094,15482880.000,1,0,shasum,20,1.000,3.093,17561088.000,1,0,cows,30,1.000,5.092,14612480.000,1,0,112.200,110.181,12063839573.333,12074845354.667,10,0
figlet,0,1.000,0.085,15556608.000,1,0,shasum,20,1.000,2.706,17654101.333,1,0,cows,30,1.000,4.438,15316309.333,1,0,116.720,115.674,12065843200.000,12075244202.667,10,0
figlet,0,1.000,0.093,15482880.000,1,0,shasum,20,1.000,1.996,4134912.000,1,0,cows,40,0.999,5.703,16325290.667,1,0,125.120,114.933,12068474880.000,12066111146.667,10,0
figlet,0,1.000,0.088,15482880.000,1,0,shasum,20,1.000,3.017,17743872.000,5,0,cows,40,1.000,5.211,21345621.333,5,0,105.710,113.742,12053248682.667,12047642282.667,10,0
figlet,0,1.000,0.083,15482880.000,1,0,shasum,20,1.000,2.227,2400256.000,5,0,cows,40,1.000,3.913,20815872.000,5,0,104.600,110.530,12052683434.667,12043213994.667,10,0
figlet,0,1.000,0.086,15482880.000,1,0,shasum,20,1.000,2.618,3833856.000,5,0,cows,50,1.000,4.541,5173248.000,5,0,119.520,117.730,12058371413.333,12053734741.333,10,0
figlet,0,1.000,0.084,15482880.000,1,0,shasum,20,1.000,2.481,17875456.000,5,0,cows,50,1.000,11.381,7106560.000,13,0,109.400,138.648,12058851328.000,12162816000.000,10,0
figlet,0,1.000,0.082,15482880.000,1,0,shasum,20,1.000,3.254,2519040.000,5,0,cows,50,1.000,11.002,15861248.000,20,1,142.320,147.385,12293685930.667,12401310037.333,10,1
figlet,0,1.000,0.095,15483733.333,1,0,shasum,30,1.000,2.649,5991424.000,5,0,cows,0,1.000,2.771,24766919.111,1,0,145.920,112.171,12553364821.333,12339330901.333,20,0
figlet,0,1.000,0.088,15486976.000,1,0,shasum,30,1.000,3.784,3523584.000,9,0,cows,0,1.000,0.082,93536768.000,1,0,85.520,84.950,12043669504.000,12071548416.000,10,0
figlet,0,1.000,0.074,15499093.333,1,0,shasum,30,1.000,4.928,6353408.000,13,0,cows,0,1.000,0.100,93192192.000,1,0,87.760,81.380,12135971498.667,12170855424.000,10,0
figlet,0,1.000,0.079,15505408.000,1,0,shasum,30,1.000,3.260,3777536.000,5,0,cows,10,1.000,0.796,92921856.000,1,0,97.080,99.910,12216368469.333,12204901546.667,20,0
figlet,0,1.000,0.091,15491072.000,1,0,shasum,30,1.000,4.097,3218432.000,13,0,cows,10,1.000,0.983,7249920.000,1,0,151.138,136.195,12092556629.333,12179081898.667,10,0
figlet,0,1.000,0.090,15491072.000,1,0,shasum,30,1.000,3.563,5767850.667,5,0,cows,10,1.000,1.429,5394432.000,1,0,121.967,119.276,12269036885.333,12272620714.667,20,0
figlet,0,1.000,0.094,15491072.000,1,0,shasum,30,1.000,3.316,3542016.000,13,0,cows,20,1.000,2.548,6205440.000,1,0,137.995,125.113,12124007765.333,12202727765.333,10,0
figlet,0,1.000,0.089,15491072.000,1,0,shasum,30,1.000,2.394,5938176.000,1,0,cows,20,1.000,2.519,5832704.000,1,0,122.520,116.440,12295578282.667,12234296661.333,20,0
figlet,0,1.000,0.087,15491072.000,1,0,shasum,30,1.000,3.930,4419584.000,1,0,cows,20,1.000,1.498,6750208.000,1,0,115.920,113.830,12114116608.000,12146458794.667,10,0
figlet,0,1.000,0.082,15491072.000,1,0,shasum,30,1.000,3.866,18293760.000,1,0,cows,30,1.000,3.637,8359936.000,1,0,128.760,117.765,12268554240.000,12338958336.000,10,0
figlet,0,1.000,0.073,15493632.000,1,0,shasum,30,1.000,3.773,18471936.000,1,0,cows,30,1.000,3.732,19236864.000,1,0,121.400,115.330,12357479082.667,12292997120.000,10,0
