function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,40,1.000,5.056,6139904.000,1,0,curl,20,1.000,13.671,6385664.000,1,0,179.640,173.421,9377658197.333,9407188138.667,10,0
nodeinfo,40,1.000,6.073,8007680.000,1,0,curl,20,1.000,15.525,6361088.000,1,0,170.270,171.278,9390680746.667,9414736725.333,10,0
nodeinfo,40,1.000,5.586,6209536.000,1,0,curl,30,1.000,21.335,37783040.000,1,0,173.178,173.424,9378889728.000,9402259626.667,10,0
nodeinfo,40,1.000,4.423,5767168.000,1,0,curl,30,1.000,22.560,5400576.000,1,0,194.226,186.615,9369522176.000,9397430272.000,10,0
nodeinfo,40,1.000,6.620,5550080.000,1,0,curl,30,1.000,21.221,4558336.000,1,0,188.800,186.061,9361718613.333,9386436266.667,10,0
nodeinfo,40,1.000,7.051,16205824.000,5,0,curl,40,1.000,23.458,5433344.000,5,0,169.880,187.446,9388037461.333,9409325226.667,10,0
nodeinfo,40,1.000,4.774,11849728.000,5,0,curl,40,1.000,25.342,7138304.000,13,0,200.560,204.777,9405081600.000,9467813717.333,10,0
nodeinfo,40,1.000,10.265,16029696.000,9,0,curl,40,1.000,30.383,12624384.000,17,1,195.360,196.532,9555976192.000,9633350656.000,10,1
nodeinfo,50,1.000,9.110,29375829.333,5,0,curl,0,1.000,4.992,11722240.000,1,0,204.800,166.441,9766546090.667,9733662208.000,20,0
nodeinfo,50,1.000,11.258,5296128.000,9,0,curl,0,1.000,0.173,31821824.000,1,0,184.640,189.758,9458496853.333,9457757013.333,10,0
nodeinfo,50,1.000,16.014,15720960.000,13,0,curl,0,1.000,0.207,31821824.000,1,0,199.840,164.290,9538398890.667,9628719445.333,10,0
nodeinfo,50,1.000,9.184,25977856.000,5,0,curl,10,1.000,4.141,33132032.000,1,0,138.600,158.378,9706780672.000,9626709504.000,20,0
nodeinfo,50,1.000,12.899,14421504.000,13,0,curl,10,1.000,7.269,4246528.000,1,0,179.520,178.385,9422457514.667,9564024149.333,10,0
nodeinfo,50,1.000,7.514,26378240.000,5,0,curl,10,1.000,6.036,3954176.000,1,0,192.649,178.420,9734305792.000,9668534442.667,20,0
nodeinfo,50,1.000,11.665,5939200.000,1,0,curl,20,1.000,11.210,5361664.000,1,0,186.360,195.054,9437049514.667,9510013269.333,10,0
