function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.083,14184448.000,1,0,cows,40,1.000,4.582,15427584.000,1,0,nmap,0,1.000,0.197,52142080.000,1,0,90.360,85.900,13586355541.333,13587759786.667,10,0
figlet,0,1.000,0.082,14199296.000,1,0,cows,40,1.000,5.158,15024128.000,1,0,nmap,10,1.000,44.150,62358016.000,1,0,99.240,135.380,13583214592.000,13596573184.000,10,0
figlet,0,1.000,0.091,14212096.000,1,0,cows,40,1.000,2.756,5038080.000,5,0,nmap,10,1.000,54.609,5816320.000,5,0,172.080,169.670,13588565333.333,13631360000.000,10,0
figlet,0,1.000,0.089,14188544.000,1,0,cows,40,1.000,2.923,5816320.000,5,0,nmap,10,1.000,54.393,5457920.000,5,0,161.080,171.352,13654116352.000,13655476565.333,10,0
figlet,0,1.000,0.084,14190592.000,1,0,cows,40,1.000,8.141,17270374.400,17,1,nmap,20,0.200,85.228,6103040.000,1,1,175.720,188.183,13646751061.333,13824871355.733,10,1
figlet,0,1.000,0.080,14194688.000,1,0,cows,40,1.000,3.357,7180288.000,5,0,nmap,20,0.182,95.454,2691072.000,1,1,212.080,221.766,14000280234.667,13814662212.267,10,1
figlet,0,1.000,0.085,14196736.000,1,0,cows,40,1.000,3.255,8953856.000,9,0,nmap,20,0.455,120.562,161454080.000,5,1,184.040,184.529,13735728469.333,13711354811.733,10,1
figlet,0,1.000,0.095,14215509.333,1,0,cows,50,1.000,4.604,19943424.000,1,0,nmap,0,1.000,22.115,2674688.000,1,0,200.488,155.472,13829235370.667,13716801536.000,10,0
figlet,0,1.000,0.089,14221312.000,1,0,cows,50,1.000,6.528,6111232.000,1,0,nmap,0,1.000,0.204,51553792.000,1,0,95.640,96.890,13601275221.333,13598446762.667,10,0
figlet,0,1.000,0.093,14221312.000,1,0,cows,50,1.000,7.489,16455168.000,1,0,nmap,0,1.000,0.325,51556352.000,1,0,99.840,95.540,13580619093.333,13584746496.000,10,0
