function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,30,1.000,3.453,11478016.000,1,0,curl,50,1.000,30.358,9867264.000,1,0,213.800,206.200,9771950762.667,9784144042.667,10,0
shasum,30,1.000,3.912,11551744.000,5,0,curl,50,1.000,30.878,9052160.000,5,0,210.724,195.080,9757848917.333,9774055253.333,10,0
shasum,40,1.000,4.933,11543040.000,5,0,curl,0,1.000,3.405,3288576.000,1,0,223.000,217.761,9791944704.000,9788375210.667,10,0
shasum,40,1.000,5.881,11544405.333,9,0,curl,0,1.000,0.170,4222976.000,1,0,217.371,178.553,9752881834.667,9738467498.667,10,0
shasum,40,1.000,5.910,11542528.000,13,0,curl,0,1.000,0.182,36986880.000,1,0,130.680,137.210,9753128960.000,9793344512.000,10,0
shasum,40,1.000,6.956,11513856.000,17,1,curl,10,1.000,5.487,38221824.000,1,0,114.000,138.348,9842805418.667,9870444202.667,10,1
shasum,40,1.000,4.962,11539456.000,5,0,curl,10,1.000,4.443,3978752.000,1,0,155.576,167.482,9929459712.000,9958364330.667,20,0
shasum,40,1.000,3.412,4212224.000,13,0,curl,10,1.000,6.013,4448256.000,1,0,224.779,205.607,9782478165.333,9811820714.667,10,0
shasum,40,1.000,2.982,7787178.667,5,0,curl,20,1.000,11.043,3661824.000,1,0,197.920,179.351,9896250026.667,9904040448.000,20,0
shasum,40,1.000,6.692,11705344.000,1,0,curl,20,1.000,13.399,41483264.000,1,0,212.855,195.667,9739965098.667,9794964480.000,10,0
shasum,40,1.000,5.577,11578368.000,1,0,curl,20,1.000,13.538,5122560.000,1,0,217.480,198.800,9772484608.000,9771468629.333,10,0
shasum,40,1.000,5.432,11564032.000,1,0,curl,30,1.000,14.682,8007680.000,1,0,194.040,194.878,9748149589.333,9763302400.000,10,0
shasum,40,1.000,4.354,11585536.000,1,0,curl,30,1.000,20.022,43071658.667,1,0,207.040,192.014,9749781162.667,9762624853.333,10,0
shasum,40,1.000,4.798,11608576.000,1,0,curl,30,1.000,22.432,3215360.000,1,0,207.000,190.237,9754957824.000,9768190805.333,10,0
shasum,40,1.000,6.086,11788800.000,5,0,curl,40,1.000,22.754,4843520.000,5,0,208.200,201.014,9746042880.000,9753450837.333,10,0
shasum,40,1.000,6.164,11768832.000,5,0,curl,40,1.000,31.712,8069120.000,5,0,214.360,209.162,9755959296.000,9771856384.000,10,0
shasum,40,1.000,4.836,11806208.000,9,0,curl,40,1.000,30.600,6820864.000,9,0,212.160,197.440,9777167701.333,9790377984.000,10,0
shasum,40,1.000,4.885,11759616.000,13,0,curl,50,1.000,29.861,8187392.000,13,0,194.238,202.227,9858781866.667,9915845120.000,10,0
shasum,40,1.000,5.833,4885162.667,17,1,curl,50,1.000,33.101,12766720.000,17,1,231.586,226.379,9992654165.333,10063827968.000,10,1
shasum,40,1.000,3.299,8645290.667,5,0,curl,50,1.000,29.240,11458048.000,5,0,259.166,203.961,10180758186.667,10211679744.000,20,0
shasum,50,1.000,8.539,12274176.000,1,0,curl,0,1.000,11.002,2596864.000,1,0,242.595,214.880,10007146496.000,9900859904.000,10,0
shasum,50,1.000,7.036,12362240.000,1,0,curl,0,1.000,0.211,42674517.333,1,0,193.040,146.861,9750653610.667,9735294122.667,10,0
shasum,50,1.000,5.296,12232704.000,1,0,curl,0,1.000,0.191,42681856.000,1,0,132.560,140.630,9708531712.000,9731187541.333,10,0
shasum,50,1.000,6.206,12427264.000,1,0,curl,10,1.000,4.366,44179456.000,1,0,147.240,133.588,9723465045.333,9713756330.667,10,0
shasum,50,1.000,6.867,12170240.000,1,0,curl,10,1.000,6.326,44705280.000,1,0,171.800,159.754,9716704597.333,9750259882.667,10,0
shasum,50,1.000,7.228,12146858.667,5,0,curl,10,1.000,8.862,5586944.000,5,0,180.320,170.173,9744452266.667,9749317461.333,10,0
shasum,50,1.000,5.294,12254720.000,5,0,curl,20,1.000,12.834,5376000.000,5,0,192.360,189.315,9724769621.333,9743767040.000,10,0
shasum,50,1.000,6.591,12536832.000,5,0,curl,20,1.000,12.893,4732928.000,5,0,207.280,185.490,9756939605.333,9753477802.667,10,0
shasum,50,1.000,6.318,5875200.000,9,0,curl,20,1.000,12.611,6946816.000,9,0,179.560,165.673,9718711637.333,9756771498.667,10,0
shasum,50,1.000,6.131,9090560.000,13,0,curl,30,1.000,21.503,10171733.333,13,0,177.480,175.043,9849793877.333,9914824704.000,10,0
shasum,50,1.000,7.340,9431040.000,17,1,curl,30,1.000,21.963,11301376.000,17,1,194.400,187.836,10034262698.667,10097854122.667,10,1
shasum,50,1.000,5.672,9556480.000,5,0,curl,30,1.000,17.708,11007772.444,1,0,195.560,180.334,10192678229.333,10210058922.667,20,0
shasum,50,1.000,5.849,12480170.667,1,0,curl,40,1.000,21.175,3747840.000,1,0,231.266,222.158,9912403285.333,9895886677.333,10,0
shasum,50,1.000,7.676,12445184.000,1,0,curl,40,1.000,27.467,5512704.000,1,0,215.280,209.350,9840027648.000,9837815637.333,10,0
shasum,50,1.000,4.364,12783104.000,1,0,curl,40,1.000,29.605,6813696.000,1,0,212.634,210.707,9812249941.333,9835208533.333,10,0
shasum,50,1.000,4.585,4550656.000,1,0,curl,50,1.000,29.200,50669056.000,1,0,211.840,208.644,9821787477.333,9836225706.667,10,0
shasum,50,1.000,8.020,12959744.000,5,0,curl,50,1.000,41.956,5282816.000,5,0,201.880,206.683,9845058901.333,9857034581.333,10,0
shasum,50,1.000,6.196,12934997.333,5,0,curl,50,1.000,30.913,3706880.000,13,0,216.240,218.222,9843851264.000,9885460650.667,10,0
