function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.093,14564352.000,1,0,env,40,1.000,3.871,8294912.000,5,0,curl,0,1.000,2.843,11265024.000,1,0,280.680,151.550,13356996608.000,13333206698.667,20,0
figlet,0,1.000,0.092,14697472.000,1,0,env,40,1.000,3.882,4601856.000,1,0,curl,0,1.000,0.218,18870272.000,1,0,163.960,116.570,13003957589.333,12930701653.333,10,0
figlet,0,1.000,0.080,14779392.000,1,0,env,40,1.000,4.858,4528128.000,1,0,curl,0,1.000,0.185,18898944.000,1,0,105.280,95.430,12889822549.333,12894707541.333,10,0
figlet,0,1.000,0.079,14819328.000,1,0,env,40,1.000,4.328,7553024.000,1,0,curl,10,1.000,3.099,20095146.667,1,0,103.360,99.620,12886841344.000,12894371669.333,10,0
figlet,0,1.000,0.082,14819328.000,1,0,env,40,1.000,5.286,4802560.000,1,0,curl,10,1.000,6.354,5572608.000,1,0,117.240,121.240,12902899712.000,12937842346.667,10,0
figlet,0,1.000,0.096,14819840.000,1,0,env,40,1.000,4.519,4333909.333,1,0,curl,10,1.000,6.620,4551509.333,1,0,128.920,121.150,12930611882.667,12933783381.333,10,0
figlet,0,1.000,0.082,14823424.000,1,0,env,40,1.000,4.861,7032832.000,1,0,curl,20,1.000,12.095,6553600.000,1,0,145.800,136.020,12895537152.000,12912604160.000,10,0
figlet,0,1.000,0.096,14823424.000,1,0,env,40,1.000,5.432,4189184.000,1,0,curl,20,1.000,14.488,5564416.000,1,0,151.640,146.450,12899192149.333,12925428565.333,10,0
figlet,0,1.000,0.092,14823424.000,1,0,env,40,1.000,5.059,6651904.000,1,0,curl,20,1.000,13.544,5619712.000,1,0,163.320,141.810,12916148224.000,12928189098.667,10,0
figlet,0,1.000,0.083,14823424.000,1,0,env,40,1.000,4.976,4687872.000,1,0,curl,30,1.000,19.561,5081088.000,1,0,164.560,150.630,12909365930.667,12931102208.000,10,0
figlet,0,1.000,0.086,14823424.000,1,0,env,40,1.000,6.527,4827136.000,5,0,curl,30,1.000,17.960,8261632.000,5,0,167.187,154.107,12923185152.000,12936337578.667,10,0
figlet,0,1.000,0.084,14823424.000,1,0,env,40,1.000,5.325,3971072.000,5,0,curl,30,1.000,13.581,5556565.333,5,0,145.520,151.810,12913943893.333,12931574442.667,10,0
figlet,0,1.000,0.092,14823424.000,1,0,env,40,1.000,4.924,4900352.000,5,0,curl,40,1.000,19.907,6062080.000,5,0,153.480,158.360,12914568533.333,12934138197.333,10,0
figlet,0,1.000,0.095,14826496.000,1,0,env,40,1.000,5.331,5229056.000,9,0,curl,40,1.000,24.526,7289514.667,9,0,160.800,158.130,12927364437.333,12983506773.333,10,0
figlet,0,1.000,0.094,14827520.000,1,0,env,40,1.000,5.208,5075968.000,13,0,curl,40,1.000,26.795,11555328.000,13,0,165.680,161.193,13061510485.333,13113249109.333,10,0
figlet,0,1.000,0.092,14827520.000,1,0,env,40,1.000,5.706,4830037.333,17,1,curl,50,1.000,28.049,2723840.000,17,1,181.280,176.820,13205030229.333,13278019242.667,10,1
figlet,0,1.000,0.092,14864896.000,1,0,env,40,1.000,4.911,8412842.667,5,0,curl,50,1.000,19.700,4111928.889,5,0,196.720,170.253,13389801472.000,13411438762.667,20,0
figlet,0,1.000,0.101,14831616.000,1,0,env,40,1.000,4.755,3164160.000,1,0,curl,50,1.000,23.008,9394176.000,1,0,230.040,200.950,13205877418.667,13098632362.667,10,0
figlet,0,1.000,0.082,14831616.000,1,0,env,50,1.000,5.634,5339136.000,1,0,curl,0,1.000,8.538,3588096.000,1,0,195.400,140.410,12978321408.000,12973380778.667,10,0
