function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,30,1.000,3.203,4288512.000,1,0,cows,0,1.000,0.117,67255808.000,1,0,116.920,123.670,9817726293.333,9848662869.333,10,0
env,30,1.000,4.184,5017600.000,1,0,cows,10,1.000,0.901,66787840.000,1,0,147.320,128.140,9846106794.667,9834060117.333,10,0
env,30,1.000,3.989,4771840.000,1,0,cows,10,1.000,2.469,67054080.000,1,0,153.480,156.492,9840776533.333,9873639936.000,10,0
env,30,1.000,5.515,4191232.000,1,0,cows,10,1.000,1.086,67126954.667,1,0,159.640,150.577,9858978474.667,9880643072.000,10,0
env,30,1.000,3.905,6254592.000,1,0,cows,20,1.000,2.316,67232768.000,1,0,176.354,152.658,9852834474.667,9859259392.000,10,0
env,30,1.000,4.815,5299200.000,1,0,cows,20,1.000,3.419,68825429.333,1,0,158.560,156.210,9821832533.333,9851300181.333,10,0
env,30,1.000,5.559,4376576.000,1,0,cows,20,1.000,3.681,68821504.000,1,0,158.720,146.792,9832444586.667,9848523093.333,10,0
env,30,1.000,4.304,4212736.000,1,0,cows,30,1.000,2.942,4808704.000,1,0,172.482,155.514,9824385706.667,9851800917.333,10,0
env,30,1.000,4.185,4793344.000,1,0,cows,30,1.000,4.439,6344704.000,1,0,166.160,159.890,9828335616.000,9854199466.667,10,0
env,30,1.000,4.860,4093952.000,5,0,cows,30,1.000,3.047,67796480.000,5,0,153.760,157.255,9856293546.667,9869836288.000,10,0
env,30,1.000,5.298,3702784.000,5,0,cows,40,1.000,3.868,12673024.000,5,0,173.880,170.650,9867507712.000,9871383040.000,10,0
env,30,1.000,4.750,3747840.000,5,0,cows,40,1.000,4.886,67428864.000,5,0,164.480,172.829,9852351146.667,9861728938.667,10,0
env,30,1.000,4.429,5598720.000,9,0,cows,40,1.000,8.083,66223274.667,9,0,162.240,153.191,9848406698.667,9912814421.333,10,0
env,30,1.000,4.943,9011200.000,13,0,cows,50,1.000,11.313,15760384.000,13,0,188.080,175.062,10023108608.000,10106028885.333,10,0
env,30,1.000,4.902,9419264.000,17,1,cows,50,1.000,10.099,27072853.333,17,1,186.742,186.747,10235047253.333,10315894784.000,10,1
env,30,1.000,4.137,4357632.000,5,0,cows,50,1.000,5.491,7020544.000,5,0,232.347,211.185,10445466282.667,10303565141.333,20,0
env,40,1.000,5.629,5029205.333,9,0,cows,0,1.000,4.813,66740736.000,1,0,229.224,183.183,9898409301.333,9893931349.333,10,0
env,40,1.000,6.251,4075520.000,13,0,cows,0,1.000,0.104,66456064.000,1,0,160.000,136.290,9884304725.333,9892833792.000,10,0
env,40,1.000,6.802,6473216.000,17,1,cows,0,1.000,0.103,66461696.000,1,0,129.960,134.250,9939946837.333,9976432640.000,10,1
