function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,10,1.000,1.657,2965504.000,5,0,cows,20,0.998,2.305,84352512.000,5,0,nmap,0,1.000,0.195,35359402.667,1,0,136.160,133.180,7191255040.000,7178814293.333,10,0
env,10,1.000,1.492,4777301.333,5,0,cows,20,0.998,6.333,83663360.000,13,0,nmap,10,1.000,48.397,53222912.000,1,0,125.200,171.063,7179498154.667,7276220074.667,10,0
env,10,1.000,1.012,3470336.000,1,0,cows,20,1.000,5.284,83227648.000,5,0,nmap,10,0.920,52.820,96728064.000,1,0,243.360,229.544,7404694186.667,7591527253.333,20,0
env,10,1.000,1.432,10962090.667,1,0,cows,20,1.000,4.436,83008000.000,1,0,nmap,10,1.000,71.103,100403200.000,1,0,226.640,222.878,7519941290.667,7512226304.000,10,0
env,10,1.000,0.980,2392064.000,5,0,cows,20,1.000,3.187,83736166.400,5,0,nmap,20,0.172,66.050,100174643.200,1,1,221.560,217.932,7524386133.333,7537130018.133,10,1
env,10,1.000,1.042,4943872.000,5,0,cows,20,1.000,1.829,83843072.000,5,0,nmap,20,0.220,94.495,124685243.733,1,1,227.517,240.611,7565501781.333,7460927624.533,10,1
env,10,1.000,1.101,2936832.000,5,0,cows,20,1.000,1.621,83542835.200,9,0,nmap,20,0.317,94.902,130773811.200,1,1,207.776,205.677,7369197568.000,7373461640.533,10,1
env,10,1.000,1.099,3432448.000,1,0,cows,30,1.000,2.064,83523072.000,1,0,nmap,0,1.000,45.858,83359744.000,1,0,206.468,176.106,7437580288.000,7326001664.000,10,0
env,10,1.000,1.453,4328960.000,1,0,cows,30,1.000,3.306,83652608.000,1,0,nmap,0,1.000,0.194,49442816.000,1,0,127.800,131.900,7257864192.000,7245661866.667,10,0
env,10,1.000,1.474,4328448.000,1,0,cows,30,1.000,3.174,83860992.000,1,0,nmap,0,1.000,0.270,49446058.667,1,0,151.320,138.449,7207738709.333,7218442240.000,10,0
env,10,1.000,1.624,3264000.000,1,0,cows,30,1.000,2.941,84003328.000,1,0,nmap,10,1.000,34.732,64658944.000,1,0,138.880,171.254,7210631850.667,7243340458.667,10,0
env,10,1.000,1.648,4196352.000,5,0,cows,30,1.000,2.482,83971925.333,5,0,nmap,10,1.000,47.226,3194880.000,5,0,210.480,204.780,7253867861.333,7280297984.000,10,0
env,10,1.000,1.601,3528704.000,5,0,cows,30,1.000,2.895,84198400.000,5,0,nmap,10,1.000,57.705,3845632.000,5,0,213.680,210.967,7240324437.333,7270291114.667,10,0
env,10,1.000,1.118,3047424.000,1,0,cows,30,1.000,2.915,84331315.200,9,0,nmap,20,0.177,82.967,5353472.000,1,1,213.200,208.275,7266827605.333,7371246933.333,10,1
env,10,1.000,0.995,13524309.333,5,0,cows,30,1.000,2.796,84402585.600,5,0,nmap,20,0.178,93.333,134707609.600,1,1,215.389,214.026,7380678656.000,7377921092.267,10,1
env,10,1.000,1.133,2826240.000,5,0,cows,30,1.000,1.968,84692445.867,5,0,nmap,20,0.245,115.612,123274035.200,1,1,189.816,194.263,7372821845.333,7363089066.667,10,1
env,10,1.000,1.032,3358720.000,5,0,cows,40,1.000,3.871,84356608.000,5,0,nmap,0,1.000,32.386,66972160.000,1,0,197.960,162.830,7380569429.333,7288689834.667,10,0
