function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.111,27703808.000,1,0,env,30,1.000,2.757,3623594.667,5,0,cows,20,1.000,3.625,27966805.333,1,0,146.520,188.754,4948754432.000,4830876672.000,20,0
nodeinfo,0,1.000,0.142,27886080.000,1,0,env,30,1.000,3.582,4217344.000,1,0,cows,30,1.000,2.992,5332992.000,1,0,288.480,183.710,4545931264.000,4597509802.667,10,0
nodeinfo,0,1.000,0.123,27909802.667,1,0,env,30,1.000,3.165,5971968.000,1,0,cows,30,1.000,3.484,5832704.000,1,0,159.600,141.110,4564202837.333,4578074112.000,10,0
nodeinfo,0,1.000,0.129,28069888.000,1,0,env,30,1.000,5.176,4743168.000,1,0,cows,30,1.000,2.647,16977920.000,1,0,130.720,135.340,4543092736.000,4555506346.667,10,0
nodeinfo,0,1.000,0.149,28054016.000,1,0,env,30,1.000,3.363,4204032.000,1,0,cows,40,1.000,3.636,7098368.000,1,0,137.520,138.920,4540671317.333,4553730901.333,10,0
nodeinfo,0,1.000,0.138,27968000.000,1,0,env,30,1.000,4.163,5052416.000,1,0,cows,40,1.000,3.538,16648192.000,1,0,141.920,141.465,4557473109.333,4563774976.000,10,0
nodeinfo,0,1.000,0.114,28108800.000,1,0,env,30,1.000,3.117,4059648.000,1,0,cows,40,1.000,6.234,7049216.000,1,0,135.600,141.150,4508471296.000,4499883861.333,10,0
nodeinfo,0,1.000,0.137,28079616.000,1,0,env,30,1.000,4.170,4044800.000,1,0,cows,50,1.000,5.161,6864896.000,1,0,146.600,138.210,4490158080.000,4505481557.333,10,0
nodeinfo,0,1.000,0.133,28076544.000,1,0,env,30,1.000,3.799,4284928.000,1,0,cows,50,1.000,4.658,7278592.000,1,0,144.560,143.410,4493185706.667,4490541056.000,10,0
nodeinfo,0,1.000,0.119,28158464.000,1,0,env,30,1.000,4.147,3597824.000,1,0,cows,50,1.000,5.659,6205440.000,1,0,139.800,141.070,4472164352.000,4483432277.333,10,0
nodeinfo,0,1.000,0.138,28275712.000,1,0,env,40,1.000,5.855,4111872.000,1,0,cows,0,1.000,2.689,7585792.000,1,0,153.760,129.920,4475475285.333,4475694933.333,10,0
nodeinfo,0,1.000,0.119,28484096.000,1,0,env,40,1.000,5.835,6275072.000,1,0,cows,0,1.000,0.078,49337344.000,1,0,107.160,102.660,4417417898.667,4425131008.000,10,0
nodeinfo,0,1.000,0.128,28758528.000,1,0,env,40,1.000,3.181,3194880.000,1,0,cows,0,1.000,0.111,49342464.000,1,0,115.160,120.800,4415378090.667,4434981205.333,10,0
nodeinfo,0,1.000,0.144,28705450.667,1,0,env,40,1.000,4.406,5089792.000,1,0,cows,10,1.000,0.462,49478656.000,1,0,124.520,109.310,4419862528.000,4426493952.000,10,0
nodeinfo,0,1.000,0.129,28686848.000,1,0,env,40,1.000,4.833,6557696.000,1,0,cows,10,0.997,1.873,5070848.000,1,0,136.320,138.190,4460530346.667,4475629056.000,10,0
nodeinfo,0,1.000,0.146,28910080.000,1,0,env,40,1.000,4.824,5619712.000,1,0,cows,10,1.000,1.875,4952064.000,1,0,133.200,126.740,4474998101.333,4481450837.333,10,0
nodeinfo,0,1.000,0.142,28993536.000,1,0,env,40,1.000,5.174,4904960.000,1,0,cows,20,1.000,2.032,5365760.000,1,0,145.520,132.690,4463096490.667,4478760448.000,10,0
nodeinfo,0,1.000,0.125,28855808.000,1,0,env,40,1.000,5.836,4698112.000,1,0,cows,20,1.000,3.401,5136384.000,1,0,139.040,137.820,4477224277.333,4483246592.000,10,0
nodeinfo,0,1.000,0.117,29065728.000,1,0,env,40,1.000,4.990,4640768.000,1,0,cows,20,1.000,2.221,7995392.000,1,0,145.000,137.656,4468251306.667,4485843456.000,10,0
nodeinfo,0,1.000,0.116,29026816.000,1,0,env,40,1.000,4.552,4659882.667,1,0,cows,30,1.000,2.825,4952064.000,1,0,149.080,148.620,4480572757.333,4487293440.000,10,0
nodeinfo,0,1.000,0.134,29063168.000,1,0,env,40,1.000,4.982,3121152.000,5,0,cows,30,0.999,5.340,5812224.000,5,0,134.320,145.720,4496953344.000,4490668373.333,10,0
nodeinfo,0,1.000,0.128,29252096.000,1,0,env,40,1.000,4.344,2899968.000,5,0,cows,30,1.000,3.734,5632000.000,5,0,133.240,140.280,4499970048.000,4491135658.667,10,0
nodeinfo,0,1.000,0.146,29339136.000,1,0,env,40,1.000,5.221,2867200.000,5,0,cows,40,1.000,4.805,5632000.000,5,0,151.920,157.400,4497989632.000,4485430613.333,10,0
nodeinfo,0,1.000,0.135,29208576.000,1,0,env,40,1.000,5.391,5899264.000,9,0,cows,40,1.000,8.610,18690560.000,9,0,139.560,134.480,4497453056.000,4563212629.333,10,0
nodeinfo,0,1.000,0.135,29321045.333,1,0,env,40,1.000,6.200,9213952.000,13,0,cows,40,1.000,7.740,28000768.000,13,0,141.360,137.020,4691340629.333,4765628416.000,10,0
nodeinfo,0,1.000,0.192,29455360.000,1,0,env,40,1.000,5.588,9528832.000,17,1,cows,50,1.000,10.597,29721600.000,17,1,153.120,149.273,4920679765.333,5007887360.000,10,1
nodeinfo,0,1.000,0.130,29210453.333,1,0,env,40,1.000,4.609,9651541.333,5,0,cows,50,1.000,7.790,28852224.000,5,0,204.665,181.700,5145685333.333,4934944426.667,20,0
nodeinfo,0,1.000,0.112,29491712.000,1,0,env,40,1.000,3.635,5652992.000,9,0,cows,50,1.000,7.945,5423104.000,9,0,172.480,154.170,4579656362.667,4631407957.333,10,0
nodeinfo,0,1.000,0.129,29424128.000,1,0,env,50,1.000,6.250,2916352.000,13,0,cows,0,1.000,5.857,15592106.667,1,0,149.800,138.290,4764786688.000,4764422997.333,10,0
nodeinfo,0,1.000,0.127,29479424.000,1,0,env,50,1.000,6.670,6511616.000,17,1,cows,0,1.000,0.098,49469098.667,1,0,121.280,117.680,4654822058.667,4664119466.667,10,1
nodeinfo,0,1.000,0.125,29737472.000,1,0,env,50,1.000,5.340,8508928.000,5,0,cows,0,1.000,0.123,49323520.000,1,0,110.600,167.220,4716995242.667,4711854762.667,20,0
nodeinfo,0,1.000,0.144,29928448.000,1,0,env,50,1.000,4.937,4772352.000,9,0,cows,10,1.000,0.661,48116736.000,1,0,159.800,127.510,4540799658.667,4532862122.667,10,0
nodeinfo,0,1.000,0.120,30129664.000,1,0,env,50,1.000,7.879,9035264.000,17,1,cows,10,1.000,1.903,20402176.000,1,0,148.880,145.760,4631852373.333,4703428608.000,10,1
nodeinfo,0,1.000,0.146,30227968.000,1,0,env,50,1.000,5.667,9234432.000,5,0,cows,10,1.000,4.048,15613952.000,1,0,159.080,149.590,4773950122.667,4745146368.000,20,0
nodeinfo,0,1.000,0.135,29965312.000,1,0,env,50,1.000,6.498,3084288.000,13,0,cows,20,0.993,3.669,19902464.000,1,0,196.040,174.250,4547831125.333,4622609237.333,10,0
nodeinfo,0,1.000,0.120,30170112.000,1,0,env,50,1.000,4.541,6924800.000,1,0,cows,20,1.000,3.479,18456576.000,1,0,164.320,150.680,4687723861.333,4684184746.667,20,0
nodeinfo,0,1.000,0.122,30203221.333,1,0,env,50,1.000,7.221,4073472.000,1,0,cows,20,1.000,3.057,5378048.000,1,0,142.880,142.470,4548175872.000,4561986218.667,10,0
