function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,41.800,41.800,11705917440.000,11705917440.000,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,43.920,43.920,11702919168.000,11702919168.000,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,40.240,40.240,11703605930.667,11703605930.667,10,0
figlet,0,1.000,0.095,13273941.333,1,0,env,0,1.000,0.085,13283328.000,1,0,nmap,10,1.000,20.516,12146688.000,1,0,40.200,90.520,11702807210.667,11712619690.667,10,0
figlet,0,1.000,0.099,14007808.000,1,0,env,0,1.000,0.077,13875370.667,1,0,nmap,10,1.000,52.226,21579776.000,1,0,129.000,138.190,11732218538.667,11767978325.333,10,0
figlet,0,1.000,0.095,14332416.000,1,0,env,0,1.000,0.077,14472704.000,1,0,nmap,10,1.000,46.563,22209536.000,1,0,144.720,142.120,11774818304.000,11781245098.667,10,0
figlet,0,1.000,0.095,14588928.000,1,0,env,0,1.000,0.075,14775296.000,1,0,nmap,20,0.565,74.757,48007168.000,9,1,140.600,166.999,11775109120.000,11912887466.667,10,1
figlet,0,1.000,0.084,14953403.733,1,0,env,0,1.000,0.068,15217186.133,1,0,nmap,20,0.317,109.338,102540492.800,1,1,168.700,182.591,12210464085.333,12053757815.467,10,1
figlet,0,1.000,0.097,15242581.333,1,0,env,0,1.000,0.082,15615317.333,1,0,nmap,20,0.410,110.401,119462229.333,1,1,165.720,168.729,11918461610.667,11906316800.000,10,1
figlet,0,1.000,0.084,15548416.000,1,0,env,10,1.000,1.103,16400042.667,1,0,nmap,0,1.000,39.879,69715968.000,1,0,149.040,81.910,11849175722.667,11815564800.000,10,0
figlet,0,1.000,0.101,15828480.000,1,0,env,10,1.000,1.054,3823616.000,5,0,nmap,0,1.000,0.195,30148096.000,1,0,63.680,74.380,11798966954.667,11814889813.333,10,0
figlet,0,1.000,0.114,16092160.000,1,0,env,10,1.000,1.822,4833280.000,5,0,nmap,0,1.000,0.203,30160896.000,1,0,70.840,69.790,11808140629.333,11812953600.000,10,0
figlet,0,1.000,0.090,16379392.000,1,0,env,10,1.000,1.682,5073749.333,5,0,nmap,10,1.000,42.394,32980480.000,5,0,76.760,124.130,11809860266.667,11824957440.000,10,0
figlet,0,1.000,0.088,16440320.000,1,0,env,10,1.000,1.367,4034560.000,5,0,nmap,10,1.000,75.241,42455040.000,5,0,155.080,160.940,11855414613.333,11878095189.333,10,0
figlet,0,1.000,0.116,16484010.667,1,0,env,10,1.000,1.284,2863104.000,5,0,nmap,10,1.000,55.894,5054464.000,1,0,164.120,161.020,11868157269.333,11886175744.000,10,0
figlet,0,1.000,0.078,16542105.600,1,0,env,10,1.000,1.411,4258304.000,9,0,nmap,20,0.347,84.470,92131328.000,1,1,188.200,197.190,11870564352.000,11984252108.800,10,1
figlet,0,1.000,0.077,16527360.000,1,0,env,10,1.000,1.058,3022848.000,5,0,nmap,20,0.317,96.816,104186265.600,5,1,187.079,206.642,12073906858.667,12013740851.200,10,1
figlet,0,1.000,0.107,16596855.467,1,0,env,10,1.000,0.836,3096576.000,9,0,nmap,20,0.278,95.263,96616857.600,1,1,199.240,196.166,12005722112.000,12029194103.467,10,1
figlet,0,1.000,0.094,16612864.000,1,0,env,20,1.000,1.779,3051520.000,5,0,nmap,0,1.000,34.645,78703616.000,1,0,187.486,145.132,12058118826.667,11983660202.667,10,0
figlet,0,1.000,0.094,16626688.000,1,0,env,20,1.000,2.887,5707776.000,9,0,nmap,0,1.000,0.179,33099776.000,1,0,73.400,74.980,11878308522.667,11898010112.000,10,0
figlet,0,1.000,0.100,16707584.000,1,0,env,20,1.000,3.544,8448000.000,13,0,nmap,0,1.000,0.215,33099776.000,1,0,85.520,78.670,11941479082.667,11962861226.667,10,0
figlet,0,1.000,0.096,16710144.000,1,0,env,20,1.000,3.802,8679936.000,17,1,nmap,10,1.000,40.633,41746944.000,1,0,78.120,132.510,12013876565.333,12059712000.000,10,1
figlet,0,1.000,0.091,16734720.000,1,0,env,20,1.000,1.889,9203029.333,5,0,nmap,10,1.000,50.436,38284800.000,1,0,172.840,151.790,12140654592.000,12180054357.333,20,0
figlet,0,1.000,0.080,16773632.000,1,0,env,20,1.000,2.257,3022848.000,1,0,nmap,10,1.000,68.490,5015552.000,1,0,213.640,194.530,12033109333.333,12029261141.333,10,0
figlet,0,1.000,0.086,16844800.000,1,0,env,20,1.000,2.450,4532224.000,5,0,nmap,20,0.207,58.230,82063360.000,1,1,189.151,194.014,11982613845.333,12109234449.067,10,1
figlet,0,1.000,0.085,16790596.267,1,0,env,20,1.000,1.983,3346944.000,5,0,nmap,20,0.293,112.298,103985288.533,1,1,165.080,180.114,12033753770.667,12039056588.800,10,1
figlet,0,1.000,0.084,16801792.000,1,0,env,20,1.000,2.051,3158016.000,5,0,nmap,20,0.398,95.223,106715545.600,5,1,164.524,178.617,12004876288.000,12005983709.867,10,1
figlet,0,1.000,0.096,16803328.000,1,0,env,30,1.000,2.718,3284992.000,1,0,nmap,0,1.000,25.363,44349440.000,1,0,195.720,142.210,12022000981.333,11980501674.667,10,0
figlet,0,1.000,0.098,16811008.000,1,0,env,30,1.000,4.509,5220352.000,1,0,nmap,0,1.000,0.199,34406400.000,1,0,89.720,83.770,11889334272.000,11901555541.333,10,0
figlet,0,1.000,0.087,16814080.000,1,0,env,30,1.000,3.987,3321856.000,1,0,nmap,0,1.000,0.186,34406400.000,1,0,89.560,83.390,11883069440.000,11889046869.333,10,0
figlet,0,1.000,0.096,16814080.000,1,0,env,30,1.000,3.807,4356096.000,5,0,nmap,10,1.000,52.958,39819776.000,5,0,92.840,122.580,11889141077.333,11902764544.000,10,0
figlet,0,1.000,0.095,16815274.667,1,0,env,30,1.000,4.230,3133440.000,5,0,nmap,10,1.000,64.854,36929024.000,5,0,160.560,171.960,11936746837.333,11961731754.667,10,0
figlet,0,1.000,0.092,16818176.000,1,0,env,30,1.000,3.179,4182016.000,5,0,nmap,10,1.000,62.558,51030357.333,5,0,173.680,181.740,11962281301.333,11976482986.667,10,0
figlet,0,1.000,0.100,16821862.400,1,0,env,30,1.000,3.783,2498560.000,17,1,nmap,20,0.280,97.743,99176448.000,1,1,188.160,197.760,11964222122.667,12093947084.800,10,1
figlet,0,1.000,0.085,16831556.267,1,0,env,30,1.000,2.158,2498560.000,9,0,nmap,20,0.278,65.755,93151232.000,1,1,201.480,185.431,12259746474.667,12115457501.867,20,1
figlet,0,1.000,0.088,16845892.267,1,0,env,30,1.000,2.677,3385344.000,5,0,nmap,20,0.260,108.440,180572979.200,1,1,190.520,192.588,12121983658.667,12125646848.000,10,1
figlet,0,1.000,0.087,16859477.333,1,0,env,40,1.000,3.880,3095040.000,1,0,nmap,0,1.000,45.569,46409216.000,1,0,162.163,108.520,12080069290.667,12006007637.333,10,0
figlet,0,1.000,0.096,16866816.000,1,0,env,40,1.000,3.182,5295616.000,1,0,nmap,0,1.000,0.202,34736128.000,1,0,83.280,85.900,11953825792.000,11964801194.667,10,0
figlet,0,1.000,0.095,16867328.000,1,0,env,40,1.000,4.813,4917248.000,1,0,nmap,0,1.000,0.202,34807296.000,1,0,93.040,87.350,11948659370.667,11955291136.000,10,0
figlet,0,1.000,0.094,16869376.000,1,0,env,40,1.000,4.472,7245824.000,1,0,nmap,10,1.000,45.400,42794496.000,1,0,96.600,136.311,11939412650.667,11952595968.000,10,0
figlet,0,1.000,0.098,16871765.333,1,0,env,40,1.000,4.700,4491776.000,1,0,nmap,10,1.000,67.309,7014400.000,1,0,176.040,174.848,11960027136.000,11999774549.333,10,0
figlet,0,1.000,0.098,16875520.000,1,0,env,40,1.000,3.818,6823936.000,1,0,nmap,10,1.000,60.442,5452800.000,1,0,213.720,191.290,12005786965.333,12006292821.333,10,0
figlet,0,1.000,0.090,16879616.000,1,0,env,40,1.000,4.517,1959936.000,9,0,nmap,20,0.365,85.179,9461760.000,1,1,169.160,178.023,11966814890.667,12046996411.733,10,1
figlet,0,1.000,0.091,16883302.400,1,0,env,40,1.000,3.272,3149824.000,5,0,nmap,20,0.145,87.191,0.000,1,1,206.782,198.098,12219092992.000,12168492919.467,10,1
figlet,0,1.000,0.087,16883712.000,1,0,env,40,1.000,4.942,3260416.000,9,0,nmap,20,0.267,73.256,136307507.200,1,1,176.200,181.608,12082763093.333,12092932096.000,10,1
figlet,0,1.000,0.073,16886784.000,1,0,env,50,1.000,4.878,3182592.000,5,0,nmap,0,1.000,49.621,84924928.000,1,0,186.800,145.080,12155536725.333,12074313386.667,10,0
figlet,0,1.000,0.083,16887808.000,1,0,env,50,1.000,7.385,3108864.000,9,0,nmap,0,1.000,0.187,36519936.000,1,0,95.000,97.280,11967158954.667,11999799808.000,10,0
figlet,0,1.000,0.094,16887808.000,1,0,env,50,1.000,6.973,7244800.000,13,0,nmap,0,1.000,0.204,36519936.000,1,0,92.440,93.040,12052878677.333,12071987370.667,10,0
figlet,0,1.000,0.079,16887808.000,1,0,env,50,1.000,7.609,8669184.000,17,1,nmap,10,1.000,28.515,42510848.000,1,0,102.480,144.770,12122418517.333,12166423893.333,10,1
figlet,0,1.000,0.094,16888320.000,1,0,env,50,1.000,4.442,9068544.000,5,0,nmap,10,1.000,37.187,58167637.333,1,0,191.400,170.568,12230476458.667,12301766314.667,20,0
figlet,0,1.000,0.085,16891904.000,1,0,env,50,1.000,5.012,3707904.000,13,0,nmap,10,1.000,74.609,64886272.000,1,0,229.040,213.220,12149081429.333,12146988202.667,10,0
figlet,0,1.000,0.094,16886579.200,1,0,env,50,1.000,3.819,4089173.333,5,0,nmap,20,0.135,22.823,102699008.000,1,1,208.880,175.867,12214869333.333,12315943458.133,20,1
figlet,0,1.000,0.082,16871424.000,1,0,env,50,1.000,3.815,2148352.000,5,0,nmap,20,0.225,82.956,147156172.800,1,1,184.000,186.841,12222220288.000,12202704896.000,10,1
figlet,0,1.000,0.083,16874291.200,1,0,env,50,1.000,3.809,3379200.000,5,0,nmap,20,0.315,113.945,170193715.200,1,1,157.560,182.523,12185195861.333,12186071586.133,10,1
figlet,10,1.000,0.802,17250304.000,1,0,env,0,1.000,0.686,2916352.000,1,0,nmap,0,1.000,51.871,66937856.000,1,0,187.480,111.500,12173611690.667,12075354453.333,10,0
figlet,10,1.000,2.280,3676160.000,1,0,env,0,1.000,0.078,29569024.000,1,0,nmap,0,1.000,0.271,37855232.000,1,0,74.680,71.400,11995949738.667,12005912576.000,10,0
figlet,10,1.000,1.728,4665344.000,1,0,env,0,1.000,0.091,29569024.000,1,0,nmap,0,1.000,0.190,37855232.000,1,0,75.440,70.810,11983731370.667,11986835114.667,10,0
figlet,10,1.000,2.101,18238464.000,5,0,env,0,1.000,0.069,29612032.000,1,0,nmap,10,1.000,44.759,46271488.000,5,0,76.640,124.880,11982001493.333,11998025728.000,10,0
figlet,10,1.000,2.199,18183168.000,5,0,env,0,1.000,0.087,29569024.000,1,0,nmap,10,1.000,76.018,46887424.000,5,0,139.320,157.132,11997117098.667,12032162816.000,10,0
figlet,10,1.000,2.115,3760128.000,5,0,env,0,1.000,0.077,29569024.000,1,0,nmap,10,1.000,65.527,5320704.000,5,0,164.920,167.872,12092522496.000,12080102229.333,10,0
figlet,10,1.000,2.477,4511232.000,9,0,env,0,1.000,0.075,29569024.000,1,0,nmap,20,0.342,66.807,121609011.200,1,1,171.440,184.852,12051380906.667,12152317405.867,10,1
figlet,10,1.000,1.306,3309568.000,5,0,env,0,1.000,0.066,29569024.000,1,0,nmap,20,0.268,104.841,130794700.800,1,1,189.240,190.413,12273814186.667,12209813094.400,10,1
figlet,10,1.000,1.377,18381346.133,9,0,env,0,1.000,0.072,29569024.000,1,0,nmap,20,0.472,113.512,130640281.600,1,1,163.680,181.757,12143880192.000,12157644526.933,10,1
figlet,10,1.000,1.485,2650112.000,5,0,env,10,1.000,0.943,2801664.000,5,0,nmap,0,1.000,34.216,53842944.000,1,0,193.311,141.728,12207614634.667,12131286528.000,10,0
figlet,10,1.000,1.924,3950592.000,5,0,env,10,1.000,1.005,3145728.000,5,0,nmap,0,1.000,0.167,38100992.000,1,0,91.120,97.270,12052415829.333,12069581312.000,10,0
figlet,10,1.000,2.094,4273664.000,1,0,env,10,1.000,1.173,3929429.333,1,0,nmap,0,1.000,0.197,38100992.000,1,0,117.600,94.450,12049633280.000,12062169941.333,10,0
figlet,10,1.000,2.163,18407424.000,1,0,env,10,1.000,1.606,2621440.000,1,0,nmap,10,1.000,65.708,41503744.000,1,0,99.200,163.420,12017650346.667,12122974549.333,10,0
figlet,10,1.000,2.100,4287488.000,1,0,env,10,1.000,1.155,3678208.000,1,0,nmap,10,1.000,65.426,2711552.000,1,0,210.640,197.320,12165868202.667,12158004565.333,10,0
figlet,10,1.000,2.338,3679232.000,1,0,env,10,1.000,1.524,3926016.000,1,0,nmap,10,1.000,63.977,43550720.000,1,0,214.600,202.420,12159352832.000,12193807872.000,10,0
figlet,10,1.000,1.939,5107712.000,5,0,env,10,1.000,1.029,3796992.000,5,0,nmap,20,0.148,60.765,108045107.200,1,1,209.250,211.692,12145193779.200,12350898039.467,10,1
figlet,10,1.000,1.955,3104768.000,9,0,env,10,1.000,1.005,3375104.000,9,0,nmap,20,0.252,107.426,98673186.133,1,1,184.440,197.751,12307286016.000,12294253636.267,10,1
figlet,10,1.000,1.333,2838528.000,5,0,env,10,1.000,1.068,2922496.000,5,0,nmap,20,0.202,99.700,130202624.000,1,1,176.600,197.127,12355074730.667,12383964728.889,10,1
figlet,10,1.000,1.748,18606080.000,1,0,env,20,1.000,1.520,3084288.000,1,0,nmap,0,1.000,39.583,68554752.000,1,0,173.997,120.401,12374013952.000,12232084480.000,10,0
figlet,10,1.000,2.086,4268032.000,1,0,env,20,1.000,2.972,4515840.000,1,0,nmap,0,1.000,0.202,39636992.000,1,0,98.880,96.090,12134352213.333,12167020714.667,10,0
figlet,10,1.000,1.914,3880960.000,1,0,env,20,1.000,2.982,6086656.000,1,0,nmap,0,1.000,0.310,39774208.000,1,0,118.120,101.220,12153262762.667,12167572309.333,10,0
figlet,10,1.000,2.036,4463104.000,1,0,env,20,1.000,3.029,3971242.667,1,0,nmap,10,1.000,28.745,42506240.000,1,0,116.680,151.250,12150926677.333,12179151189.333,10,0
figlet,10,1.000,1.981,18592256.000,1,0,env,20,1.000,2.762,4370432.000,1,0,nmap,10,1.000,44.908,55050240.000,1,0,197.472,188.978,12199074474.667,12230348629.333,10,0
figlet,10,1.000,1.996,3158016.000,5,0,env,20,1.000,2.704,4130816.000,5,0,nmap,10,1.000,63.984,49801216.000,5,0,217.280,205.952,12190206634.667,12207038805.333,10,0
figlet,10,1.000,2.099,3913728.000,1,0,env,20,1.000,2.250,4620288.000,13,0,nmap,20,0.252,95.556,7464960.000,1,1,196.320,199.705,12190603264.000,12310065425.067,10,1
figlet,10,1.000,1.312,3031040.000,1,0,env,20,1.000,1.505,2916352.000,1,0,nmap,20,0.177,94.974,162567850.667,1,1,200.640,208.044,12452077568.000,12454444145.778,10,1
figlet,10,1.000,1.493,2957312.000,9,0,env,20,1.000,1.675,3084288.000,9,0,nmap,20,0.222,91.506,127884083.200,1,1,181.782,191.520,12407670784.000,12314616627.200,10,1
figlet,10,1.000,0.886,3153920.000,1,0,env,30,1.000,2.006,3108864.000,1,0,nmap,0,1.000,30.578,85359104.000,1,0,205.056,180.444,12405071189.333,12343000064.000,10,0
figlet,10,1.000,2.105,18906624.000,1,0,env,30,1.000,4.010,4981760.000,1,0,nmap,0,1.000,0.192,41684992.000,1,0,136.480,113.850,12160704512.000,12177377109.333,10,0
figlet,10,1.000,2.006,18764629.333,5,0,env,30,1.000,4.259,4244992.000,5,0,nmap,0,1.000,0.348,41689088.000,1,0,130.560,109.380,12156508160.000,12162641578.667,10,0
figlet,10,1.000,1.816,18707456.000,5,0,env,30,1.000,3.485,5284864.000,5,0,nmap,10,1.000,45.996,48944128.000,5,0,150.040,191.770,12167508650.667,12234683904.000,10,0
figlet,10,1.000,1.430,3235840.000,5,0,env,30,1.000,4.036,3051520.000,5,0,nmap,10,1.000,56.099,58920448.000,1,0,202.360,200.401,12206166698.667,12243069781.333,10,0
figlet,10,1.000,1.389,2085888.000,1,0,env,30,1.000,3.216,4243456.000,17,1,nmap,10,0.987,45.252,79242240.000,1,0,215.560,214.606,12247731541.333,12409337514.667,10,1
figlet,10,1.000,1.024,2785280.000,1,0,env,40,1.000,4.914,3637248.000,5,0,nmap,0,1.000,7.229,3264512.000,1,0,223.960,202.818,12669000362.667,12557133312.000,20,0
figlet,10,1.000,2.520,18747392.000,1,0,env,40,1.000,3.576,3827712.000,1,0,nmap,0,1.000,0.187,41889792.000,1,0,190.280,158.540,12290520405.333,12293760853.333,10,0
figlet,10,1.000,1.954,18724864.000,1,0,env,40,1.000,5.767,5046272.000,1,0,nmap,0,1.000,0.208,41889792.000,1,0,146.680,135.040,12266064554.667,12257339050.667,10,0
figlet,10,1.000,1.996,3713024.000,1,0,env,40,1.000,6.211,7499776.000,1,0,nmap,10,1.000,47.299,49565013.333,1,0,134.320,164.000,12238675285.333,12259581610.667,10,0
figlet,10,1.000,1.845,4073472.000,1,0,env,40,1.000,4.438,4417536.000,1,0,nmap,10,1.000,51.539,61891072.000,1,0,191.960,195.370,12279113045.333,12333355008.000,10,0
figlet,10,1.000,2.128,3555328.000,1,0,env,40,1.000,4.197,6557696.000,1,0,nmap,10,1.000,71.886,53439658.667,1,0,198.920,200.794,12315780437.333,12322999808.000,10,0
figlet,10,1.000,2.518,18826854.400,5,0,env,40,1.000,5.131,5011456.000,5,0,nmap,20,0.157,73.920,7290880.000,1,1,208.440,204.905,12310009173.333,12420628070.400,10,1
figlet,10,1.000,1.534,3125248.000,5,0,env,40,1.000,3.151,3375104.000,5,0,nmap,20,0.220,96.681,120461312.000,1,1,200.952,192.321,12422131029.333,12373551962.210,10,1
figlet,10,1.000,1.360,18745344.000,9,0,env,40,1.000,2.867,3088384.000,9,0,nmap,20,0.263,92.882,133064704.000,1,1,188.080,245.432,12343920640.000,12366253533.867,10,1
figlet,10,1.000,1.633,2932736.000,1,0,env,50,1.000,3.532,3194880.000,1,0,nmap,0,1.000,30.254,80002048.000,1,0,196.800,168.700,12512593920.000,12401692672.000,10,0
figlet,10,1.000,1.748,18790912.000,1,0,env,50,1.000,7.236,4820480.000,1,0,nmap,0,1.000,0.202,41463808.000,1,0,116.080,118.650,12238239744.000,12267138560.000,10,0
figlet,10,1.000,2.082,18775040.000,1,0,env,50,1.000,6.704,5255168.000,1,0,nmap,0,1.000,0.175,41463808.000,1,0,135.480,120.224,12244321621.333,12248430762.667,10,0
figlet,10,1.000,2.347,2916352.000,1,0,env,50,1.000,4.036,2793472.000,1,0,nmap,10,1.000,40.323,59535872.000,1,0,141.160,180.390,12220930730.667,12307432448.000,10,0
figlet,10,1.000,2.291,2927104.000,5,0,env,50,1.000,5.539,4983296.000,5,0,nmap,10,1.000,60.982,12736512.000,5,0,217.210,206.233,12335144960.000,12350946816.000,10,0
figlet,10,1.000,2.126,3108864.000,5,0,env,50,1.000,4.323,5332992.000,5,0,nmap,10,1.000,65.382,53641728.000,5,0,204.000,204.088,12308936704.000,12311056384.000,10,0
figlet,10,1.000,1.690,18313216.000,1,0,env,50,1.000,1.827,6024874.667,20,1,nmap,20,0.098,121.062,62275584.000,1,1,204.560,219.273,12290564096.000,12687645696.000,10,1
figlet,10,1.000,1.481,3137536.000,5,0,env,50,1.000,4.346,2641920.000,5,0,nmap,20,0.147,89.939,144231424.000,1,1,208.720,221.222,12695433216.000,12563206485.333,10,1
figlet,10,1.000,1.402,3092480.000,5,0,env,50,1.000,4.156,2867200.000,5,0,nmap,20,0.220,92.180,120694920.533,1,1,186.131,188.432,12463847424.000,12409313962.667,10,1
figlet,20,1.000,1.868,3112960.000,1,0,env,0,1.000,0.062,3428352.000,1,0,nmap,0,1.000,40.716,58680490.667,1,0,162.760,106.830,12418623488.000,12313539072.000,10,0
figlet,20,1.000,3.215,4478976.000,1,0,env,0,1.000,0.084,28966912.000,1,0,nmap,0,1.000,0.318,42549248.000,1,0,70.960,76.810,12231183701.333,12238166357.333,10,0
figlet,20,1.000,3.991,4147200.000,1,0,env,0,1.000,0.115,28966912.000,1,0,nmap,0,1.000,0.155,42549248.000,1,0,83.680,77.970,12214703445.333,12211489792.000,10,0
figlet,20,1.000,3.640,18076501.333,1,0,env,0,1.000,0.080,28966912.000,1,0,nmap,10,1.000,39.306,43558400.000,1,0,92.560,127.320,12196027050.667,12207538858.667,10,0
figlet,20,1.000,3.327,4683776.000,1,0,env,0,1.000,0.068,28966912.000,1,0,nmap,10,1.000,69.424,47044096.000,1,0,164.160,166.210,12217135104.000,12253525333.333,10,0
figlet,20,1.000,3.757,3917824.000,1,0,env,0,1.000,0.095,28966912.000,1,0,nmap,10,1.000,65.706,2940928.000,1,0,181.880,187.536,12238635690.667,12304233472.000,10,0
figlet,20,1.000,3.646,17954542.933,9,0,env,0,1.000,0.076,28966912.000,1,0,nmap,20,0.278,93.079,107369813.333,1,1,204.560,198.008,12335970986.667,12371778628.267,10,1
figlet,20,1.000,2.001,3137536.000,5,0,env,0,1.000,0.071,28966912.000,1,0,nmap,20,0.305,100.247,119535616.000,1,1,176.080,190.850,12410543445.333,12376559206.400,10,1
figlet,20,1.000,2.807,3088384.000,5,0,env,0,1.000,0.081,28966912.000,1,0,nmap,20,0.203,106.226,110113587.200,1,1,183.000,190.952,12336670037.333,12366240699.733,10,1
figlet,20,1.000,2.368,18170880.000,5,0,env,10,1.000,0.676,28966912.000,5,0,nmap,0,1.000,42.757,70799872.000,1,0,154.001,111.876,12323959466.667,12267796480.000,10,0
figlet,20,1.000,4.679,4473344.000,5,0,env,10,1.000,1.706,3576320.000,5,0,nmap,0,1.000,0.204,42848256.000,1,0,99.880,105.510,12246324565.333,12265219584.000,10,0
figlet,20,1.000,3.764,5636096.000,5,0,env,10,1.000,1.200,2998272.000,5,0,nmap,0,1.000,0.233,42848256.000,1,0,116.120,106.970,12244991317.333,12257290069.333,10,0
figlet,20,1.000,4.309,4535296.000,5,0,env,10,1.000,1.226,3888469.333,5,0,nmap,10,1.000,49.773,47677952.000,5,0,110.720,153.047,12239076010.667,12270571178.667,10,0
figlet,20,1.000,4.001,2932736.000,5,0,env,10,1.000,1.169,3532800.000,5,0,nmap,10,1.000,61.422,46480896.000,1,0,194.400,188.007,12296887637.333,12333335552.000,10,0
figlet,20,1.000,3.087,4290048.000,17,1,env,10,1.000,1.470,2549248.000,1,0,nmap,10,1.000,70.447,87824384.000,1,0,214.320,212.860,12333408256.000,12484523178.667,10,1
figlet,20,1.000,3.291,6828714.667,1,0,env,20,1.000,1.249,3129344.000,1,0,nmap,0,1.000,0.219,2658304.000,1,0,226.200,191.570,12660170069.333,12573919232.000,20,0
figlet,20,1.000,4.210,18218325.333,1,0,env,20,1.000,2.543,4448256.000,1,0,nmap,0,1.000,0.194,42807296.000,1,0,145.880,121.840,12298573824.000,12336934570.667,10,0
figlet,20,1.000,4.252,3999232.000,1,0,env,20,1.000,3.132,6316032.000,1,0,nmap,0,1.000,0.205,42807296.000,1,0,146.880,199.580,12328064341.333,12328283989.333,10,0
figlet,20,1.000,3.405,4661248.000,1,0,env,20,1.000,3.111,4322816.000,1,0,nmap,10,1.000,49.278,64797696.000,1,0,129.480,169.690,12307230037.333,12332566186.667,10,0
figlet,20,1.000,4.030,4212224.000,1,0,env,20,1.000,2.569,6373376.000,1,0,nmap,10,1.000,61.544,5811712.000,1,0,224.360,207.058,12349085013.333,12390582954.667,10,0
figlet,20,1.000,3.863,6201344.000,1,0,env,20,1.000,3.075,3993600.000,1,0,nmap,10,1.000,56.097,10555392.000,1,0,213.480,204.501,12389146624.000,12403908778.667,10,0
figlet,20,1.000,3.040,4157440.000,1,0,env,20,1.000,2.157,4765696.000,1,0,nmap,20,0.123,91.351,129029120.000,1,1,217.480,215.241,12388655104.000,12511645923.556,10,1
figlet,20,1.000,2.846,18188697.600,5,0,env,20,1.000,1.633,2981888.000,5,0,nmap,20,0.198,97.075,155361689.600,1,1,162.203,191.123,12495194112.000,12482477943.467,10,1
figlet,20,1.000,3.008,2613248.000,5,0,env,20,1.000,1.775,3031040.000,5,0,nmap,20,0.233,112.613,144306995.200,1,1,172.994,187.247,12503345834.667,12475805559.467,10,1
figlet,20,1.000,1.645,2891776.000,5,0,env,30,1.000,2.984,3485696.000,5,0,nmap,0,1.000,29.468,71760725.333,1,0,184.080,147.661,12473113258.667,12383645184.000,10,0
figlet,20,1.000,4.213,2953216.000,9,0,env,30,1.000,4.615,3006464.000,9,0,nmap,0,1.000,0.204,42524672.000,1,0,127.480,115.690,12306987008.000,12353901056.000,10,0
figlet,20,1.000,4.668,4381696.000,13,0,env,30,1.000,4.394,4839424.000,13,0,nmap,0,1.000,0.375,42645504.000,1,0,121.480,117.210,12425715712.000,12476769280.000,10,0
figlet,20,1.000,4.667,6864384.000,1,0,env,30,1.000,4.835,2560000.000,17,1,nmap,10,1.000,43.446,59933184.000,1,0,138.520,163.558,12580548608.000,12672982528.000,10,1
figlet,20,1.000,2.944,18343936.000,1,0,env,30,1.000,3.496,3779242.667,1,0,nmap,10,0.993,55.116,65165653.333,1,0,213.400,186.030,12756504576.000,12699004586.667,20,0
figlet,20,1.000,3.223,18340352.000,1,0,env,30,1.000,3.578,5132288.000,1,0,nmap,10,1.000,59.987,3497472.000,1,0,222.680,213.880,12529444181.333,12525824853.333,10,0
figlet,20,1.000,3.643,4409344.000,5,0,env,30,1.000,3.819,4628480.000,5,0,nmap,20,0.157,83.110,3756032.000,1,1,215.867,210.936,12511735125.333,12602904348.444,10,1
figlet,20,1.000,2.388,3010560.000,5,0,env,30,1.000,3.008,3424256.000,5,0,nmap,20,0.178,98.767,126005794.133,1,1,188.920,188.974,12561160874.667,12542521207.467,10,1
figlet,20,1.000,2.122,18480332.800,5,0,env,30,1.000,2.687,2981888.000,5,0,nmap,20,0.212,99.146,137080422.400,1,1,165.400,186.091,12570073088.000,12535476087.467,10,1
figlet,20,1.000,3.858,18436096.000,5,0,env,40,1.000,1.683,2646016.000,5,0,nmap,0,1.000,42.997,92439040.000,1,0,175.280,138.980,12551026688.000,12462476288.000,10,0
figlet,20,1.000,4.085,4732416.000,9,0,env,40,1.000,6.291,6193152.000,9,0,nmap,0,1.000,0.218,43524096.000,1,0,125.960,116.780,12392140800.000,12426988544.000,10,0
figlet,20,1.000,4.539,8175616.000,13,0,env,40,1.000,6.201,3457024.000,13,0,nmap,0,1.000,0.209,43524096.000,1,0,125.240,121.000,12487314773.333,12541453824.000,10,0
figlet,20,1.000,4.606,8688128.000,17,1,env,40,1.000,6.117,5765120.000,17,1,nmap,10,1.000,49.694,52817920.000,1,0,131.680,160.230,12647507968.000,12719974058.667,10,1
figlet,20,1.000,2.885,8778240.000,1,0,env,40,1.000,3.472,8823466.667,1,0,nmap,10,0.957,44.727,80443904.000,1,0,214.200,197.259,12850569216.000,12987281066.667,20,0
