function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,30,1.000,4.521,2908160.000,1,0,shasum,20,1.000,2.723,5767168.000,1,0,157.214,152.204,9179184469.333,9204352512.000,10,0
nodeinfo,30,1.000,2.915,5124096.000,1,0,shasum,30,1.000,3.833,4243456.000,1,0,142.240,144.454,9174784682.667,9204932096.000,10,0
nodeinfo,30,1.000,3.789,5570560.000,1,0,shasum,30,1.000,4.292,6639616.000,1,0,153.480,140.550,9190108501.333,9216181589.333,10,0
nodeinfo,30,1.000,3.592,5152768.000,1,0,shasum,30,1.000,3.790,6819840.000,1,0,150.480,149.640,9182513834.667,9214955349.333,10,0
nodeinfo,30,1.000,4.497,6295552.000,1,0,shasum,40,1.000,3.878,4734976.000,1,0,147.520,151.510,9194785450.667,9216157525.333,10,0
nodeinfo,30,1.000,3.989,8491008.000,1,0,shasum,40,1.000,5.393,4214784.000,1,0,165.800,149.382,9183972010.667,9207727445.333,10,0
nodeinfo,30,1.000,5.130,5763072.000,1,0,shasum,40,1.000,5.116,4510720.000,1,0,161.240,156.566,9186839893.333,9213884928.000,10,0
nodeinfo,30,1.000,5.812,6660096.000,1,0,shasum,50,1.000,6.096,4775936.000,1,0,152.320,174.475,9195586218.667,9219085994.667,10,0
nodeinfo,30,1.000,3.706,11767808.000,1,0,shasum,50,1.000,6.188,4579328.000,1,0,256.240,200.150,9170225152.000,9200271872.000,10,0
nodeinfo,30,1.000,4.764,6971392.000,1,0,shasum,50,1.000,6.447,4665344.000,1,0,162.440,154.135,9186867882.667,9219556522.667,10,0
nodeinfo,40,1.000,6.169,17805824.000,5,0,shasum,0,1.000,0.873,3741696.000,1,0,147.280,146.570,9223416490.667,9227979434.667,10,0
nodeinfo,40,1.000,7.442,15983616.000,5,0,shasum,0,1.000,0.079,19582976.000,1,0,131.440,123.420,9198405632.000,9189859157.333,10,0
nodeinfo,40,1.000,7.607,16516437.333,5,0,shasum,0,1.000,0.074,19582976.000,1,0,138.240,151.390,9200672768.000,9214938282.667,10,0
nodeinfo,40,1.000,6.164,5541888.000,5,0,shasum,10,1.000,0.887,19609600.000,5,0,111.040,126.600,9186243925.333,9186193408.000,10,0
nodeinfo,40,1.000,7.130,5795840.000,5,0,shasum,10,1.000,1.702,4026368.000,5,0,144.120,142.260,9209086634.667,9229337600.000,10,0
nodeinfo,40,1.000,9.970,15481514.667,13,0,shasum,10,1.000,1.258,3465216.000,5,0,143.880,158.743,9217729194.667,9307551573.333,10,0
nodeinfo,40,1.000,13.843,15545856.000,20,1,shasum,20,1.000,1.987,4455936.000,5,0,154.240,170.840,9457478997.333,9548491434.667,10,1
nodeinfo,40,1.000,8.187,25252864.000,5,0,shasum,20,1.000,1.948,19630592.000,5,0,173.000,158.152,9673667242.667,9529691818.667,20,0
