function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.110,8904021.333,1,0,nodeinfo,20,1.000,4.665,7692288.000,5,0,env,50,1.000,7.491,4747264.000,5,0,167.771,175.693,10392728234.667,10409612970.667,10,0
figlet,0,1.000,0.086,8904704.000,1,0,nodeinfo,20,1.000,3.836,19046400.000,5,0,env,50,1.000,7.248,4517888.000,5,0,166.160,163.103,10401082709.333,10409639594.667,10,0
figlet,0,1.000,0.105,8911872.000,1,0,nodeinfo,30,1.000,4.788,6684672.000,5,0,env,0,1.000,2.230,3491840.000,1,0,173.560,157.340,10398818986.667,10402483882.667,10,0
figlet,0,1.000,0.157,8912896.000,1,0,nodeinfo,30,1.000,9.085,17330688.000,9,0,env,0,1.000,0.098,11071488.000,1,0,200.520,177.990,10377709568.000,10412825429.333,10,0
figlet,0,1.000,0.096,8951808.000,1,0,nodeinfo,30,1.000,12.042,17832960.000,13,0,env,0,1.000,0.083,11071488.000,1,0,162.200,149.309,10508601344.000,10593381034.667,10,0
figlet,0,1.000,0.098,8928768.000,1,0,nodeinfo,30,1.000,4.655,24294741.333,5,0,env,10,1.000,0.896,11072512.000,5,0,149.980,162.563,10670551040.000,10596371968.000,20,0
figlet,0,1.000,0.104,8933376.000,1,0,nodeinfo,30,1.000,8.811,13301760.000,9,0,env,10,1.000,1.619,3874816.000,1,0,161.440,168.849,10391932928.000,10491106304.000,10,0
figlet,0,1.000,0.098,8935936.000,1,0,nodeinfo,30,1.000,12.087,5427200.000,17,1,env,10,1.000,1.610,4170752.000,1,0,145.307,165.645,10595595605.333,10682212864.000,10,1
figlet,0,1.000,0.165,13534720.000,1,0,nodeinfo,40,1.000,6.451,15421440.000,5,0,env,0,1.000,0.412,3526656.000,1,0,192.577,187.534,10809051818.667,10707116544.000,20,0
figlet,0,1.000,0.108,15320576.000,1,0,nodeinfo,40,1.000,9.158,22828373.333,9,0,env,0,1.000,0.088,11954688.000,1,0,177.720,152.594,10402745002.667,10432247637.333,10,0
figlet,0,1.000,0.114,15476736.000,1,0,nodeinfo,40,1.000,15.027,30814720.000,13,0,env,0,1.000,0.093,12029952.000,1,0,162.720,159.030,10522883413.333,10617851392.000,10,0
figlet,0,1.000,0.101,15590912.000,1,0,nodeinfo,40,1.000,5.241,31608832.000,5,0,env,10,1.000,1.558,12067840.000,1,0,151.740,161.786,10700697600.000,10615589205.333,20,0
figlet,0,1.000,0.097,15593472.000,1,0,nodeinfo,40,1.000,9.275,9043968.000,1,0,env,10,1.000,1.498,3931648.000,1,0,181.040,187.380,10395155114.667,10470560597.333,10,0
