function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.077,14315520.000,1,0,cows,40,1.000,4.593,6742016.000,1,0,curl,20,1.000,12.142,5120000.000,1,0,164.960,159.560,7321697621.333,7309844821.333,10,0
env,0,1.000,0.064,14315520.000,1,0,cows,40,1.000,4.306,14340096.000,1,0,curl,20,1.000,16.080,5203968.000,1,0,165.120,172.080,7267330730.667,7274958848.000,10,0
env,0,1.000,0.085,14315520.000,1,0,cows,40,1.000,4.183,42767872.000,5,0,curl,30,1.000,17.180,3059712.000,5,0,182.320,180.790,7271449941.333,7288632320.000,10,0
env,0,1.000,0.071,14315520.000,1,0,cows,40,1.000,3.832,4734976.000,5,0,curl,30,1.000,13.787,4841472.000,5,0,165.280,178.570,7299206485.333,7297016149.333,10,0
env,0,1.000,0.076,14315520.000,1,0,cows,40,1.000,4.875,9236480.000,5,0,curl,30,1.000,20.044,3749205.333,5,0,167.200,170.666,7303730517.333,7296109397.333,10,0
env,0,1.000,0.088,14359210.667,1,0,cows,40,1.000,7.669,20341760.000,9,0,curl,40,1.000,26.720,8874496.000,9,0,167.733,170.473,7301306368.000,7380245162.667,10,0
env,0,1.000,0.081,14315520.000,1,0,cows,40,1.000,9.790,28902570.667,13,0,curl,40,1.000,25.239,5598549.333,13,0,193.000,189.250,7513688064.000,7606617088.000,10,0
env,0,1.000,0.079,14300672.000,1,0,cows,40,1.000,9.245,30121301.333,17,1,curl,40,1.000,16.006,10927104.000,17,1,187.040,198.816,7794920106.667,7872408746.667,10,1
env,0,1.000,0.080,14177962.667,1,0,cows,50,1.000,5.459,29282304.000,1,0,curl,0,1.000,2.604,11397802.667,1,0,268.960,185.190,8046321664.000,7746542933.333,20,0
env,0,1.000,0.070,14176256.000,1,0,cows,50,1.000,5.196,14698496.000,1,0,curl,0,1.000,0.181,27389952.000,1,0,153.160,139.280,7307879765.333,7307178666.667,10,0
env,0,1.000,0.069,14176256.000,1,0,cows,50,1.000,6.703,5029888.000,1,0,curl,0,1.000,0.200,27471530.667,1,0,116.520,120.220,7286545066.667,7287089834.667,10,0
env,0,1.000,0.083,14181376.000,1,0,cows,50,1.000,5.198,15792640.000,1,0,curl,10,1.000,5.590,28779008.000,1,0,113.480,133.760,7286036480.000,7291083946.667,10,0
env,0,1.000,0.071,14217216.000,1,0,cows,50,1.000,6.221,18436096.000,1,0,curl,10,1.000,7.231,4524544.000,1,0,150.520,155.670,7303845888.000,7304077482.667,10,0
env,0,1.000,0.072,14219776.000,1,0,cows,50,1.000,4.895,14598144.000,1,0,curl,10,1.000,7.476,4777984.000,1,0,162.880,155.990,7278876672.000,7293228032.000,10,0
env,0,1.000,0.090,14221312.000,1,0,cows,50,1.000,5.235,17992362.667,1,0,curl,20,1.000,12.862,5013504.000,1,0,159.920,159.405,7284736682.667,7294925994.667,10,0
env,0,1.000,0.073,14221312.000,1,0,cows,50,1.000,4.202,4861952.000,5,0,curl,20,1.000,10.582,4823040.000,5,0,175.885,165.381,7284034218.667,7294965589.333,10,0
env,0,1.000,0.075,14221312.000,1,0,cows,50,0.999,5.882,16232448.000,5,0,curl,20,1.000,12.466,2686976.000,5,0,155.160,164.170,7305314986.667,7302044330.667,10,0
env,0,1.000,0.080,14239744.000,1,0,cows,50,1.000,5.785,6017024.000,5,0,curl,30,1.000,19.844,5293056.000,5,0,158.400,181.670,7314311850.667,7312312661.333,10,0
env,0,1.000,0.079,14274560.000,1,0,cows,50,1.000,7.438,17093632.000,9,0,curl,30,1.000,18.042,2859008.000,9,0,173.080,165.980,7328395946.667,7388211882.667,10,0
env,0,1.000,0.072,14229504.000,1,0,cows,50,1.000,10.152,28626432.000,13,0,curl,30,1.000,16.612,2629632.000,13,0,181.600,180.406,7522940928.000,7621554517.333,10,0
env,0,1.000,0.077,14225408.000,1,0,cows,50,0.991,11.448,30055424.000,17,1,curl,40,1.000,16.125,6777856.000,1,0,187.200,187.774,7806057130.667,7850097664.000,10,1
env,0,1.000,0.077,14225408.000,1,0,cows,50,1.000,4.618,31459328.000,1,0,curl,40,1.000,14.677,3859797.333,1,0,228.280,201.840,7885329066.667,7565866666.667,20,0
env,0,1.000,0.075,14225408.000,1,0,cows,50,1.000,4.237,5144576.000,1,0,curl,40,1.000,28.787,5343232.000,1,0,183.840,190.420,7362480128.000,7389335552.000,10,0
env,0,1.000,0.074,14274560.000,1,0,cows,50,1.000,4.647,8802304.000,1,0,curl,50,1.000,28.458,5812224.000,1,0,180.720,191.150,7389022208.000,7403411456.000,10,0
env,0,1.000,0.074,14225408.000,1,0,cows,50,1.000,4.783,53893120.000,1,0,curl,50,1.000,23.071,5664768.000,1,0,207.960,196.360,7387374250.667,7406281386.667,10,0
env,0,1.000,0.084,14225408.000,1,0,cows,50,1.000,5.048,7598080.000,5,0,curl,50,1.000,35.549,4872192.000,5,0,218.160,208.470,7381518336.000,7404050432.000,10,0
env,10,1.000,0.917,2990080.000,5,0,cows,0,1.000,1.619,7598080.000,1,0,curl,0,1.000,12.515,3310592.000,1,0,184.800,140.940,7399738026.667,7388939605.333,10,0
env,10,1.000,1.329,3203072.000,5,0,cows,0,1.000,0.109,54605824.000,1,0,curl,0,1.000,0.166,30281728.000,1,0,98.160,94.540,7342650709.333,7344624981.333,10,0
env,10,1.000,1.871,4609365.333,5,0,cows,0,1.000,0.102,54672213.333,1,0,curl,0,1.000,0.164,30281728.000,1,0,120.400,115.600,7351024298.667,7361068373.333,10,0
env,10,1.000,1.790,3162112.000,5,0,cows,0,1.000,0.103,54033920.000,1,0,curl,10,1.000,5.951,3059712.000,5,0,91.880,113.930,7321366528.000,7341887658.667,10,0
env,10,1.000,1.499,4169728.000,5,0,cows,0,1.000,0.101,53960874.667,1,0,curl,10,1.000,7.438,2822144.000,5,0,128.600,203.631,7380381696.000,7366435328.000,10,0
env,10,1.000,1.837,3701248.000,1,0,cows,0,1.000,0.098,53970432.000,1,0,curl,10,1.000,7.803,4214784.000,1,0,134.240,121.690,7354176853.333,7354842282.667,10,0
env,10,1.000,1.453,4401152.000,1,0,cows,0,1.000,0.109,53310464.000,1,0,curl,20,1.000,7.423,4551680.000,9,0,122.600,142.860,7313098752.000,7382913365.333,10,0
env,10,1.000,1.182,3958784.000,1,0,cows,0,1.000,0.103,53113002.667,1,0,curl,20,1.000,14.823,7667200.000,1,0,167.960,176.210,7480405333.333,7549228544.000,10,0
env,10,1.000,1.809,2920448.000,5,0,cows,0,1.000,0.090,53183488.000,1,0,curl,20,1.000,10.909,4423680.000,5,0,197.960,181.470,7422223018.667,7377797120.000,10,0
env,10,1.000,1.751,4254208.000,1,0,cows,0,1.000,0.106,53068288.000,1,0,curl,30,1.000,12.642,4703232.000,1,0,158.240,154.270,7353107114.667,7352949248.000,10,0
env,10,1.000,1.246,4198400.000,1,0,cows,0,1.000,0.091,53167104.000,1,0,curl,30,1.000,15.528,6889472.000,1,0,157.600,154.100,7327366485.333,7352392021.333,10,0
env,10,1.000,1.196,3944448.000,1,0,cows,0,1.000,0.110,53300224.000,1,0,curl,30,1.000,18.749,6201344.000,1,0,176.760,160.890,7360457386.667,7370791082.667,10,0
env,10,1.000,0.950,4038656.000,1,0,cows,0,1.000,0.086,53158400.000,1,0,curl,40,1.000,23.017,5484544.000,1,0,171.400,167.560,7352879104.000,7375602176.000,10,0
env,10,1.000,1.386,4224512.000,5,0,cows,0,1.000,0.095,53116416.000,1,0,curl,40,1.000,22.976,8597504.000,5,0,194.400,171.200,7376812032.000,7381502293.333,10,0
env,10,1.000,1.403,4310357.333,5,0,cows,0,1.000,0.116,53203456.000,1,0,curl,40,1.000,24.839,4730880.000,5,0,201.840,202.070,7401497941.333,7440149674.667,10,0
env,10,1.000,1.521,3260416.000,5,0,cows,0,1.000,0.108,53036544.000,1,0,curl,50,1.000,27.266,4954794.667,13,0,191.520,194.279,7388521813.333,7453720746.667,10,0
env,10,1.000,1.746,4210176.000,5,0,cows,0,1.000,0.109,53109760.000,1,0,curl,50,1.000,30.829,11537920.000,20,1,186.800,197.930,7513163093.333,7592284501.333,10,1
env,10,1.000,1.086,3133440.000,1,0,cows,0,1.000,0.106,53157888.000,1,0,curl,50,1.000,25.005,2854912.000,5,0,193.080,174.700,7692440917.333,7634868736.000,20,0
